2023-07-01T18:28:06.110-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration'
2023-07-01T18:28:06.114-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration' via constructor to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
2023-07-01T18:28:06.196-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'errorPageCustomizer'
2023-07-01T18:28:06.197-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration'
2023-07-01T18:28:06.198-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration' via constructor to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
2023-07-01T18:28:06.200-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'dispatcherServletRegistration'
2023-07-01T18:28:06.201-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration$DispatcherServletRegistrationConfiguration'
2023-07-01T18:28:06.202-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'dispatcherServlet'
2023-07-01T18:28:06.203-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration$DispatcherServletConfiguration'
2023-07-01T18:28:06.206-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
2023-07-01T18:28:06.216-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'dispatcherServlet' via factory method to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
2023-07-01T18:28:06.232-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'dispatcherServletRegistration' via factory method to bean named 'dispatcherServlet'
2023-07-01T18:28:06.233-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'dispatcherServletRegistration' via factory method to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
2023-07-01T18:28:06.235-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'multipartConfigElement'
2023-07-01T18:28:06.235-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.MultipartAutoConfiguration'
2023-07-01T18:28:06.236-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.servlet.multipart-org.springframework.boot.autoconfigure.web.servlet.MultipartProperties'
2023-07-01T18:28:06.243-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.MultipartAutoConfiguration' via constructor to bean named 'spring.servlet.multipart-org.springframework.boot.autoconfigure.web.servlet.MultipartProperties'
2023-07-01T18:28:06.251-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'errorPageCustomizer' via factory method to bean named 'dispatcherServletRegistration'
2023-07-01T18:28:06.396-03:00 DEBUG 1279371 --- [restartedMain] .s.b.w.e.t.TomcatServletWebServerFactory : Code archive: /home/marcio/.m2/repository/org/springframework/boot/spring-boot/3.1.1/spring-boot-3.1.1.jar
2023-07-01T18:28:06.397-03:00 DEBUG 1279371 --- [restartedMain] .s.b.w.e.t.TomcatServletWebServerFactory : Code archive: /home/marcio/.m2/repository/org/springframework/boot/spring-boot/3.1.1/spring-boot-3.1.1.jar
2023-07-01T18:28:06.398-03:00 DEBUG 1279371 --- [restartedMain] .s.b.w.e.t.TomcatServletWebServerFactory : Document root: /home/marcio/Projects/Java/28Minutes/lessons/src/main/webapp
2023-07-01T18:28:06.568-03:00  INFO 1279371 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2023-07-01T18:28:06.581-03:00  INFO 1279371 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-07-01T18:28:06.582-03:00  INFO 1279371 --- [restartedMain] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.10]
2023-07-01T18:28:07.007-03:00  INFO 1279371 --- [restartedMain] org.apache.jasper.servlet.TldScanner     : At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
